"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Application\Integration\Contracts\Commands\RunImportWorkflowCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","36","1197","1.17","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\ConnectionProfiles\ConnectionProfileDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","271","0.26","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\ConnectionProfiles\CreateConnectionProfileCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","280","0.27","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Dtos\ConnectorDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","180","4891","4.78","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Dtos\DataSourceConnectorDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","80","2198","2.15","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Dtos\ImportWorkflowResult.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","51","1416","1.38","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Dtos\SchemaConfigurationDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","107","2899","2.83","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Jobs\JobDefinitionDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","55","1406","1.37","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Jobs\JobOperationsDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","58","1488","1.45","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Jobs\JobRunHistoryDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","253","0.25","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Mapping\CreateMappingDefinitionCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","17","442","0.43","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Mapping\MappingDefinitionDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","260","0.25","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Mapping\MappingExecutionResult.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","26","636","0.62","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\SourceSystems\RegisterSourceSystemCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","14","363","0.35","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\SourceSystems\SourceSystemDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","261","0.25","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Staging\StagingRecordBulkCreateResult.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","391","0.38","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Interfaces\Connectors\IConnectorConfigurationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","67","2533","2.47","5/19/2026 12:19:14 AM"
