"Fingerprint","RelativePath","LineNumber","Category","RiskLevel","RefactorTrack","Evidence","Status"
"68391EDC4BF40FBC","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","34","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT site_id, product_family, event_day_utc, defect_count "" +","REMAINING_IN_API"
"3E1EE6411506CA7B","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","39","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT site_id, parameter_code, parameter_name, unit_of_measure, grade_or_recipe, avg_value, sample_size "" +","REMAINING_IN_API"
"FBD0866F329C5747","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","47","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT parameter_code, parameter_name, unit_of_measure, parameter_category, observed_day_utc, avg_value, sample_size "" +","REMAINING_IN_API"
"1E42DCA20BF423AF","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","55","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT dataset, last_successful_refresh_utc, EXTRACT(EPOCH FROM age)::bigint AS age_seconds, is_stale "" +","REMAINING_IN_API"
"680C1F99F642AD4D","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","67","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"EE4D53988633B5F0","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","86","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","? ""SELECT po.numeric_value FROM parameter_observations po WHERE po.is_deleted = false AND po.numeric_value IS NOT NULL""","REMAINING_IN_API"
"29F36A659168877B","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","87","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime",": ""SELECT po.numeric_value FROM parameter_observations po "" +","REMAINING_IN_API"
"18F4CFC300FCFF62","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","93","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT EXTRACT(EPOCH FROM (ended_at_utc - started_at_utc)) / 60.0 FROM downtime_events "" +","REMAINING_IN_API"
"1FD972F1CCC4E838","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","97","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT defect_count::double precision FROM mv_dashboard_defect_by_product_family"",","REMAINING_IN_API"
"1CF8158DCBEDBC63","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","100","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT material_count::double precision FROM mv_dashboard_daily_production"",","REMAINING_IN_API"
"B87F38F901659EFB","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","110","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"AEBD782460F8F772","Backend\PlantProcess.Api\Endpoints\Dashboarding\DashboardEndpoints.cs","291","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","select new","REMAINING_IN_API"
